id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,shot_statsbomb_xg,shot_end_location,shot_technique,shot_body_part,shot_type,shot_outcome,shot_first_time,shot_freeze_frame,possession_team_id,team_id,player_id,shot_key_pass_id,shot_one_on_one,shot_deflected,under_pressure,shot_open_goal,shot_aerial_won,out,shot_follows_dribble,shot_saved_to_post,shot_saved_off_target,shot_redirect,penalty,X,Y,xG,result,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,competition_stage,stadium,match_info,outcome
9fd07a9a-2de2-4ba5-b400-6a2264835ba2,839,1,00:16:29.766,16,29,Shot,25,Argentina,From Free Kick,Argentina,Alejandro Darío Gómez,Left Wing,"[98.2, 20.1]",0.938361,['9d87a1de-ed0e-49d0-ab6a-20ec37ccefa8'],3869151,0.011147299,"[120.0, 47.5, 7.1]",Normal,Right Foot,Open Play,Off T,,"[{'location': [110.1, 15.4], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.4, 37.3], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.3, 40.1], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.1, 40.6], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [91.3, 53.5], 'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.0, 34.6], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.6, 32.7], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.1, 29.4], 'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [98.1, 44.4], 'player': {'id': 33477, 'name': 'Riley McGree'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.4, 34.3], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.5, 25.8], 'player': {'id': 33488, 'name': 'Keanu Baccus'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.3, 19.4], 'player': {'id': 15957, 'name': 'Miloš Degenek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 19.4], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.0, 34.7], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.8, 40.6], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 47.6], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",779,779,7006,737eb3e8-23bf-4308-bc56-e9f9af6acd45,,,,,,,,,,,no,98.2,20.1,0.011147299,Off T,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
53d825ac-a98d-41ca-b81f-1015dee17376,1646,1,00:34:35.083,34,35,Shot,52,Argentina,From Free Kick,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[104.2, 48.9]",0.883672,['063ff98e-65e1-4c87-895d-70d0b372f890'],3869151,0.06663833,"[120.0, 37.1, 0.3]",Normal,Left Foot,Open Play,Goal,,"[{'location': [103.3, 54.2], 'player': {'id': 33488, 'name': 'Keanu Baccus'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 44.5], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.1, 48.7], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.4, 44.4], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.9, 43.5], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.7, 40.0], 'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [107.4, 33.5], 'player': {'id': 15957, 'name': 'Miloš Degenek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.2, 48.2], 'player': {'id': 33477, 'name': 'Riley McGree'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.9, 32.1], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.4, 36.3], 'player': {'id': 33492, 'name': 'Mitchell Thomas Duke'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [106.1, 28.0], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [117.1, 41.6], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.1, 42.3], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [103.8, 39.1], 'player': {'id': 20572, 'name': 'Cristian Gabriel Romero'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [96.4, 48.7], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [106.0, 49.7], 'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [102.2, 70.8], 'player': {'id': 7006, 'name': 'Alejandro Darío Gómez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",779,779,5503,7c8c4c58-fd12-4739-90d0-6c7708632504,,,,,,,,,,,no,104.2,48.9,0.06663833,Goal,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
9fa41c60-ab9c-4fcb-8d5c-39a781e7a9c0,2431,2,00:04:59.175,49,59,Shot,77,Argentina,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[99.8, 38.5]",0.038189,"['016f3e5d-feb0-41d5-85b7-f0ec035b5b3b', 'd0c16ab8-12b5-4931-93c9-518da37fbc26']",3869151,0.04517154,"[116.9, 40.0, 0.6]",Normal,Left Foot,Open Play,Saved,,"[{'location': [117.8, 39.7], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.3, 47.7], 'player': {'id': 33477, 'name': 'Riley McGree'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 54.8], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.0, 52.6], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.7, 41.9], 'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.1, 38.2], 'player': {'id': 15957, 'name': 'Miloš Degenek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.1, 43.8], 'player': {'id': 33488, 'name': 'Keanu Baccus'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 45.1], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.1, 41.0], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 33.9], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.3, 62.1], 'player': {'id': 29201, 'name': 'Nahuel Molina Lucero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.1, 49.6], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [107.3, 51.6], 'player': {'id': 27768, 'name': 'Lisandro Martínez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.2, 42.9], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.9, 29.5], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",779,779,5503,a1eee7ac-6047-4e62-bd42-de9cad99923b,,True,,,,,,,,,no,99.8,38.5,0.04517154,Saved,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
a7ce988c-2d9b-4d78-8b34-95e4d2774ae0,2752,2,00:11:41.079,56,41,Shot,89,Australia,Regular Play,Argentina,Julián Álvarez,Left Center Forward,"[110.4, 50.3]",1.649001,['557795f0-4781-46d8-80b1-8f60da5d99dd'],3869151,0.28060678,"[120.0, 36.5, 0.3]",Normal,Right Foot,Open Play,Goal,,"[{'location': [113.0, 44.4], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.5, 59.8], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [94.0, 40.1], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.3, 47.4], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.1, 70.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.7, 51.7], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [85.5, 16.4], 'player': {'id': 15957, 'name': 'Miloš Degenek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.6, 41.3], 'player': {'id': 33488, 'name': 'Keanu Baccus'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.5, 50.7], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.7, 26.4], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",792,779,29560,,,,,,,,,,,,no,110.4,50.3,0.28060678,Goal,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
5f1b13a1-f49c-41a6-9040-2c7db303d427,3120,2,00:20:50.198,65,50,Shot,100,Argentina,From Corner,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[95.4, 33.6]",0.893309,['db2d5b90-070b-4a6c-9000-29ea8ed2d397'],3869151,0.032841697,"[120.0, 31.6, 6.2]",Normal,Left Foot,Open Play,Off T,,"[{'location': [91.2, 48.9], 'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [97.2, 62.0], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.4, 48.9], 'player': {'id': 8346, 'name': 'Craig Goodwin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [96.5, 34.8], 'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.8, 46.3], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.5, 41.5], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 34.6], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.9, 28.7], 'player': {'id': 8859, 'name': 'Ajdin Hrustic'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.9, 31.7], 'player': {'id': 15957, 'name': 'Miloš Degenek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.1, 38.7], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 44.3], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.2, 28.1], 'player': {'id': 29560, 'name': 'Julián Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.6, 18.6], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",779,779,5503,71254354-d995-41d1-aa95-45965f495902,,,,,,,,,,,no,95.4,33.6,0.032841697,Off T,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
060deabd-8fca-4998-b49c-bf4dee752a0e,3411,2,00:29:43.196,74,43,Shot,115,Argentina,Regular Play,Argentina,Nicolás Alejandro Tagliafico,Left Wing Back,"[103.2, 24.9]",1.906571,['e311752e-4277-4f31-84c0-2520da4a32d3'],3869151,0.05181273,"[120.0, 49.6, 0.3]",Normal,Left Foot,Open Play,Off T,,"[{'location': [103.9, 28.2], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.7, 37.5], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.5, 36.8], 'player': {'id': 27886, 'name': 'Alexis Mac Allister'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.6, 37.4], 'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [92.4, 38.8], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.9, 49.5], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.5, 40.6], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 25.2], 'player': {'id': 28370, 'name': 'Fran Karačić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",779,779,5507,,,,,,,,,,,,no,103.2,24.9,0.05181273,Off T,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
fbbcbd30-78e7-4627-9714-bdf463a6c12e,3818,2,00:42:15.283,87,15,Shot,138,Argentina,From Free Kick,Argentina,Lautaro Javier Martínez,Left Center Forward,"[108.3, 52.3]",2.376645,['4f801b6f-5ed5-48c3-9db9-02b413a42afa'],3869151,0.051439364,"[120.0, 30.0, 0.2]",Normal,Right Foot,Open Play,Off T,True,"[{'location': [96.9, 57.7], 'player': {'id': 8346, 'name': 'Craig Goodwin'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.3, 59.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.6, 55.1], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.9, 48.8], 'player': {'id': 5490, 'name': 'Jackson Irvine'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.2, 50.8], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.3, 35.9], 'player': {'id': 28370, 'name': 'Fran Karačić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 44.0], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.5, 52.8], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.7, 58.3], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [100.5, 28.4], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",779,779,11456,98baf8ef-8291-478a-98d1-937af0f7d8c4,,,,,,,,,,,no,108.3,52.3,0.051439364,Off T,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
e48ce4af-0f98-4004-b235-e115cefa6bac,3854,2,00:43:11.394,88,11,Shot,140,Argentina,From Counter,Argentina,Lautaro Javier Martínez,Left Center Forward,"[107.6, 31.9]",0.659907,['e807bb5e-7c93-4ede-bf8e-7d105625c93c'],3869151,0.24890411,"[120.0, 45.1, 5.4]",Normal,Right Foot,Open Play,Off T,True,"[{'location': [106.3, 37.2], 'player': {'id': 8859, 'name': 'Ajdin Hrustic'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [103.7, 39.0], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.6, 45.4], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.2, 39.4], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.5, 31.3], 'player': {'id': 28370, 'name': 'Fran Karačić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.3, 38.2], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.1, 38.8], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.3, 46.4], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",779,779,11456,73bf0740-8e3a-495b-b4b9-d5e4f74b755a,,,,,,,,,,,no,107.6,31.9,0.24890411,Off T,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
8779a120-92be-4bef-b143-a0e91aa68bfb,3936,2,00:47:10.356,92,10,Shot,148,Argentina,From Throw In,Argentina,Lautaro Javier Martínez,Left Center Forward,"[109.1, 31.8]",0.13627,['e23353bd-8925-403a-9e4e-336fc492b04e'],3869151,0.37209997,"[114.1, 35.9, 0.5]",Normal,Left Foot,Open Play,Saved,,"[{'location': [114.2, 36.2], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.6, 52.3], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.8, 37.2], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [90.9, 28.6], 'player': {'id': 8859, 'name': 'Ajdin Hrustic'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.7, 44.2], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 34.7], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.1, 38.5], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.1, 33.2], 'player': {'id': 28370, 'name': 'Fran Karačić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",779,779,11456,f8959629-84ac-4161-b6c2-eae7d2737fb5,,,,,,,,,,,no,109.1,31.8,0.37209997,Saved,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
36dc8c71-010d-4cfb-8427-774a6e556620,3978,2,00:47:50.627,92,50,Shot,150,Argentina,Regular Play,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[104.6, 52.2]",0.71693,['1f07d19b-100d-4f81-afef-a5123fbc8555'],3869151,0.055600196,"[120.0, 36.5, 4.0]",Normal,Left Foot,Open Play,Off T,,"[{'location': [93.9, 41.2], 'player': {'id': 9980, 'name': 'Jamie MacLaren'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [104.1, 55.0], 'player': {'id': 5479, 'name': 'Aziz Eraltay Behich'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 52.5], 'player': {'id': 3281, 'name': 'Aaron Mooy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.7, 48.3], 'player': {'id': 22293, 'name': 'Harry Souttar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 50.2], 'player': {'id': 33495, 'name': 'Kye Rowles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.2, 38.4], 'player': {'id': 28370, 'name': 'Fran Karačić'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.1, 42.3], 'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.4, 56.0], 'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.9, 43.4], 'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.9, 33.6], 'player': {'id': 11456, 'name': 'Lautaro Javier Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",779,779,5503,632f9b43-2028-4c3e-b7e2-80c11217fc58,,,,,,,,,,,no,104.6,52.2,0.055600196,Off T,2022-12-03,21:00:00.000,International - FIFA World Cup,2022,Argentina,Australia,2,1,available,Round of 16,Ahmad bin Ali Stadium,Argentina Vs. Australia (2022-12-03),Argentina 2 - Australia 1
